iter	Passed	Remaining
655	6490	3403
656	6499	3393
657	6509	3383
658	6517	3372
659	6527	3362
660	6536	3352
661	6546	3342
662	6554	3331
663	6563	3321
664	6573	3311
665	6584	3302
666	6593	3291
667	6601	3280
668	6610	3270
669	6620	3260
670	6629	3250
671	6637	3239
672	6646	3229
673	6658	3220
674	6669	3211
675	6683	3203
676	6692	3192
677	6701	3182
678	6710	3172
679	6723	3164
680	6733	3154
681	6744	3144
682	6753	3134
683	6762	3124
684	6771	3114
685	6783	3104
686	6793	3095
687	6802	3084
688	6812	3075
689	6823	3065
690	6832	3055
691	6842	3045
692	6851	3035
693	6860	3025
694	6871	3015
695	6880	3005
696	6889	2995
697	6900	2985
698	6914	2977
699	6924	2967
700	6933	2957
701	6942	2947
702	6951	2936
703	6960	2926
704	6968	2915
705	6978	2905
706	6987	2895
707	6997	2885
708	7005	2875
709	7015	2865
710	7023	2854
711	7032	2844
712	7041	2834
713	7050	2824
714	7058	2813
715	7066	2803
716	7075	2792
717	7083	2782
718	7092	2771
719	7100	2761
720	7108	2750
721	7119	2741
722	7127	2730
723	7136	2720
724	7145	2710
725	7153	2699
726	7163	2689
727	7173	2680
728	7185	2671
729	7199	2662
730	7212	2654
731	7222	2644
732	7234	2635
733	7244	2625
734	7253	2615
735	7262	2605
736	7271	2594
737	7281	2584
738	7290	2574
739	7299	2564
740	7308	2554
741	7319	2544
742	7327	2534
743	7337	2524
744	7346	2514
745	7356	2504
746	7365	2494
747	7376	2485
748	7385	2475
749	7395	2465
750	7405	2455
751	7414	2445
752	7423	2435
753	7433	2425
754	7442	2415
755	7451	2405
756	7461	2395
757	7470	2385
758	7480	2375
759	7489	2365
760	7498	2354
761	7507	2344
762	7517	2334
763	7525	2324
764	7534	2314
765	7543	2304
766	7554	2294
767	7563	2284
768	7572	2274
769	7581	2264
770	7591	2254
771	7600	2244
772	7608	2234
773	7617	2224
774	7626	2214
775	7636	2204
776	7645	2194
777	7655	2184
778	7669	2175
779	7683	2167
780	7693	2157
781	7702	2147
782	7711	2137
783	7724	2128
784	7734	2118
785	7742	2108
786	7753	2098
787	7762	2088
788	7771	2078
789	7780	2068
790	7790	2058
791	7800	2048
792	7811	2039
793	7820	2028
794	7829	2019
795	7839	2009
796	7850	1999
797	7858	1989
798	7868	1979
799	7879	1969
800	7889	1959
801	7898	1950
802	7907	1939
803	7917	1930
804	7927	1920
805	7936	1910
806	7945	1900
807	7954	1890
808	7964	1880
809	7973	1870
810	7983	1860
811	7993	1850
812	8002	1840
813	8013	1831
814	8022	1821
815	8031	1811
816	8041	1801
817	8050	1791
818	8059	1781
819	8068	1771
820	8079	1761
821	8089	1751
822	8098	1741
823	8106	1731
824	8116	1721
825	8125	1711
826	8134	1701
827	8143	1691
828	8153	1681
829	8165	1672
830	8177	1663
831	8189	1653
832	8203	1644
833	8216	1635
834	8225	1625
835	8235	1615
836	8245	1605
837	8255	1595
838	8264	1585
839	8273	1575
840	8284	1566
841	8295	1556
842	8303	1546
843	8312	1536
844	8322	1526
845	8332	1516
846	8344	1507
847	8353	1497
848	8364	1487
849	8373	1477
850	8383	1467
851	8392	1457
852	8401	1447
853	8412	1438
854	8421	1428
855	8429	1418
856	8438	1408
857	8448	1398
858	8459	1388
859	8467	1378
860	8477	1368
861	8486	1358
862	8495	1348
863	8503	1338
864	8513	1328
865	8523	1318
866	8533	1309
867	8542	1299
868	8551	1289
869	8562	1279
870	8571	1269
871	8580	1259
872	8589	1249
873	8599	1239
874	8608	1229
875	8617	1219
876	8627	1210
877	8636	1200
878	8647	1190
879	8662	1181
880	8671	1171
881	8681	1161
882	8691	1151
883	8700	1141
884	8710	1131
885	8719	1121
886	8729	1112
887	8739	1102
888	8748	1092
889	8757	1082
890	8766	1072
891	8776	1062
892	8785	1052
893	8794	1042
894	8803	1032
895	8812	1022
896	8823	1013
897	8831	1003
898	8842	993
899	8852	983
900	8861	973
901	8872	963
902	8880	953
903	8890	944
904	8899	934
905	8908	924
906	8916	914
907	8925	904
908	8934	894
909	8943	884
910	8953	874
911	8962	864
912	8972	855
913	8982	845
914	8990	835
915	8998	825
916	9007	815
917	9015	805
918	9024	795
919	9032	785
920	9041	775
921	9049	765
922	9058	755
923	9066	745
924	9075	735
925	9083	725
926	9092	716
927	9101	706
928	9109	696
929	9117	686
930	9126	676
931	9134	666
932	9143	656
933	9152	646
934	9161	636
935	9172	627
936	9188	617
937	9198	607
938	9212	598
939	9224	588
940	9235	579
941	9243	569
942	9253	559
943	9261	549
944	9272	539
945	9280	529
946	9291	520
947	9302	510
948	9312	500
949	9321	490
950	9329	480
951	9340	470
952	9348	461
953	9358	451
954	9366	441
955	9375	431
956	9386	421
957	9395	411
958	9405	402
959	9413	392
960	9422	382
961	9432	372
962	9441	362
963	9451	352
964	9461	343
965	9470	333
966	9480	323
967	9489	313
968	9498	303
969	9508	294
970	9517	284
971	9526	274
972	9535	264
973	9544	254
974	9553	244
975	9562	235
976	9572	225
977	9581	215
978	9591	205
979	9599	195
980	9609	186
981	9621	176
982	9635	166
983	9646	156
984	9660	147
985	9670	137
